Region;Sub-region;Country;Year;Count
Africa;Eastern Africa;Kenya;2016;1452
Africa;Eastern Africa;Uganda;2016;7697
Africa;Western Africa;Senegal;2016;45
Americas;Caribbean;Barbados;2016;1833
Americas;Caribbean;Dominican Republic;2016;6110
Americas;Caribbean;Grenada;2016;679
Americas;Caribbean;Jamaica;2016;1308
Americas;Caribbean;Puerto Rico;2016;8292
Americas;Central America;Belize;2016;800
Americas;Central America;Guatemala;2016;45429
Americas;Central America;Honduras;2016;13518
Americas;Central America;Mexico;2016;84717
Americas;Central America;Panama;2016;910
Americas;Northern America;Bermuda;2016;749
Americas;Northern America;Canada;2016;158673
Americas;Northern America;United States of America;2016;1515096
Americas;South America;Chile;2016;213769
Americas;South America;Colombia;2016;47176
Americas;South America;Ecuador;2016;82366
Americas;South America;Guyana;2016;218
Asia;Central Asia;Kyrgyzstan;2016;1357
Asia;Eastern Asia;Japan;2016;76477
Asia;Eastern Asia;Macao Special Administrative Region of China;2016;82
Asia;Eastern Asia;Mongolia;2016;4130
Asia;Eastern Asia;Republic of Korea;2016;47745
Asia;South-Eastern Asia;Indonesia;2016;46277
Asia;South-Eastern Asia;Myanmar;2016;25
Asia;South-Eastern Asia;Singapore;2016;212
Asia;South-Eastern Asia;Thailand;2016;3088
Asia;Southern Asia;Nepal;2016;102
Asia;Southern Asia;Pakistan;2016;14572
Asia;Southern Asia;Sri Lanka;2016;10287
Asia;Western Asia;Armenia;2016;2514
Asia;Western Asia;Azerbaijan;2016;4989
Asia;Western Asia;Cyprus;2016;1687
Asia;Western Asia;United Arab Emirates;2016;942
Europe;Eastern Europe;Bulgaria;2016;10161
Europe;Eastern Europe;Czech Republic;2016;28220
Europe;Eastern Europe;Poland;2016;79928
Europe;Eastern Europe;Romania;2016;27332
Europe;Eastern Europe;Russian Federation;2016;238321
Europe;Eastern Europe;Slovakia;2016;6260
Europe;Northern Europe;Denmark;2016;60136
Europe;Northern Europe;Finland;2016;24594
Europe;Northern Europe;Iceland;2016;1038
Europe;Northern Europe;Ireland;2016;18438
Europe;Northern Europe;Latvia;2016;6365
Europe;Northern Europe;Lithuania;2016;2657
Europe;Northern Europe;Sweden;2016;89055
Europe;Southern Europe;Bosnia and Herzegovina;2016;2639
Europe;Southern Europe;Croatia;2016;12403
Europe;Southern Europe;Greece;2016;65720
Europe;Southern Europe;Montenegro;2016;847
Europe;Southern Europe;Portugal;2016;26193
Europe;Southern Europe;Serbia;2016;19675
Europe;Southern Europe;Slovenia;2016;10707
Europe;Southern Europe;Spain;2016;195910
Europe;Western Europe;Austria;2016;80503
Europe;Western Europe;France;2016;382910
Europe;Western Europe;Germany;2016;432730
Europe;Western Europe;Liechtenstein;2016;141
Europe;Western Europe;Monaco;2016;14
Europe;Western Europe;Netherlands;2016;84371
Europe;Western Europe;Switzerland;2016;46539
Oceania;Australia and New Zealand;Australia;2016;188756
